query,positive_chunk,hard_negative,chunk_id,paper_id,split,query_type
Does DPP-IV inhibition by L. rhamnosus GG fermentation increase insulin secretion in STZ-induced diabetic rats?,"[Preclinical Evidence] . Similarly, yoghurt fermented with L. plantarum KU985438 and L. rhamnosus KU985439 significantly reduced α-amylase concentrations in STZ-induced diabetic rats [158]. Black goji berry juice fermented with L. rhamnosus GG exhibited more potent DPP-IV inhibitory activity in vitro [159]. DPP-IV inhibition prevents the degradation of GLP-1 and increases its endogenous levels, resulting in elevated insulin secretion and lower glucose production to enhance glycaemic control [159]. However, the therapeutic superiority of fermented matrices over stand-alone probiotic supplementation remains inconsistent. A study showed that L",Fermentation with L. plantarum enhances glucose production in healthy individuals due to increased α-amylase activity,12960364_00091,12960364,train,Multi-Hop
What percentage of older patients should have frailty evaluated during healthcare encounters?,"[Discussion] Frailty assessments are increasingly recommended in clinical care. In Norway, recent publications have proposed implementing routine frailty assessments in emergency departments, and the European Joint Action on Frailty (ADVANTAGE) recommends evaluating frailty during all healthcare encounters involving older patients [24, 25]. Identifying pre-frail patients is crucial, as early interventions can prevent progression to frailty and reduce the risk of adverse outcomes during hospitalization. In this context, accurate classification of frailty serves primarily to inform clinical decision-making and risk stratification at the point of care.",Frailty assessments are crucial for determining the optimal dosage of medications in older adults with chronic conditions.,12960408_00051,12960408,test,Factual
What is the prevalence of DDX41 variants in patients with MDS/AML?,"[Enrichment of DDX41 variants in MDS/AML (PS4)] To understand the prevalence of DDX41 variants across different disease contexts, we included a subset of patients from the DDX41-ASC with a diagnosis of MDS/AML (n = 34051), other myeloid neoplasms (n = 8072), unexplained cytopenias (n = 5156), and lymphoid neoplasms (n = 1228); 5179 individuals with aplastic anemia or unspecified hematologic malignancies were excluded. Among the 1594 cases with a germline DDX41 variant, we excluded 17 with aplastic anemia or healthy carriers, along with four cases with unclassified variants due to missing information, leaving 1573 cases included in the analysis.","DDX41 variants are commonly found in patients with solid tumors, which has significant implications for cancer treatment strategies.",12960222_00018,12960222,test,Conversational
What is the relationship between BMI and CFS category change?,"[Patient characteristics associated with change in CFS category] ED: Emergency Department; CFS: Clinical Frailty Scale; BMI; Body Mass Index; NEWS: National Early Warning Score; CRB65: Confusion, Respiration rate, Blood pressure, Age > 65; iCFS: Initial Clinical Frailty Scale; rCFS: Retrospective Clinical Frailty Scale; COPD: Chronic Obstructive Pulmonary Disease; TIA: Transient ischemic attack","[Results] BMI; Body Mass Index; NEWS: National Early Warning Score; CRB65: Confusion, Respiration rate, Blood pressure, Age > 65; CFS: Clinical Frailty Scale; COPD: Chronic Obstructive Pulmonary Disease; TIA: Transient ischemic attack",12960408_00043,12960408,test,Keyword Search
What is the relationship between AlphaMissense scores and the identification of putative pathogenic variants?,"[In silico tool comparison for missense variants (PP3/BP4)] We then evaluated AlphaMissense’s ability to identify putative pathogenic variants. Alpha scores outperformed REVEL with an AUC of 0.88 (95% CI: 0.83–0.92; p < 0.001 by Delong test) (Fig. 5B). The performance of three AlphaMissense thresholds (pre-determined class [36], ≥0.792 [38] and 0.91 [Youden’s index]) was compared (Table S5). We chose the AlphaMissense scores ≥0.792 and ≤0.169 for PP3 and BP4, respectively, as recommended by ClinGen, for ongoing analysis. REVEL was better at identifying non-pathogenic variants, though there was significant overlap. Conversely, putative pathogenic variants clustered around high alpha scores (Fig. S9)","[Clinical characteristics and prognostic impact of MRG mutations] We first compared RFS and OS of FLT3-ITDpos patients stratified by the presence of MRG mutations in univariate and multivariable analyses. While no difference in RFS was observed (HR 1.15, 95%CI 0.90–1.46, p = 0.3, Fig. 1A), OS was significantly shorter for MRGmut patients (HR 1.36, 95%CI 1.11–1.66, p = 0.003, Fig. 1B) in univariate analysis. Importantly, in multivariable analysis for OS, only high WBC counts, age and NPM1 co-mutations were independently associated with OS, whereas the presence of MRG mutations was not (HR 1.14, 95%CI 0.92–1.42, p = 0.2) (Table 2). Of note, although TP53 mutations did not emerge as an independent adverse factor in multivariable analysis, the number of patients with TP53 mutations was small (n = 10) in this cohort, thus precluding definite conclusions.Fig",12960222_00056,12960222,test,Multi-Hop
What was observed between participants who did and did not disclose income regarding the occurrence of health conditions?,[Results] . No differences in the occurrence of health conditions were observed between participants who did and did not disclose income. These findings suggest that non-disclosure of income is not simply a reflection of lower SEP because in the low SEP group higher LIBRA scores and more frequent health conditions were observed (see Supplemental Table 1).,"Participants who disclosed income had significantly higher LIBRA scores than those who did not, indicating a strong correlation between income disclosure and socioeconomic status.",12960752_00030,12960752,test,Factual
What percentage of participants refrained from disclosing their income?,"[Strengths and limitations] Further, 18.6% of our participants refrained from disclosing information about their income and were therefore excluded. These individuals had a lower educational level which may have influenced their inclusion and our conclusions, we recognize that individuals with a lower SEP may have more difficulty disclosing their income bracket. Additionally, educational level and income do not fully capture all elements of SEP, such as wealth, household income, financial scarcity, and occupational level. 65 Notably, age is associated with lower educational level, and our low SEP group was significantly older, which may partially account for the higher prevalence of health conditions and unhealthier behavior observed in this group",The prevalence of health conditions in low SEP groups is directly correlated with their dietary habits.,12960752_00064,12960752,test,Conversational
Do MRG mutations have a different prognostic impact on OS when NPM1 mutations are present versus when they are absent?,"[Prognostic impact of MRG mutations by NPM1 mutational status] Since MRG mutations were overrepresented in the FLT3-ITDpos/NPM1wt cohort, and NPM1 mutations were one of the strongest favorable prognostic markers for OS in multivariable analysis, we next evaluated the prognostic impact of MRG mutations stratified by NPM1 mutations.",NPM1 mutations are associated with a favorable response to FLT3-ITD targeted therapy,12960240_00031,12960240,test,Multi-Hop
What is the mean difference between initial and retrospective Clinical Frailty Scale scores?,[Concordance between initial and retrospective CFS assessments] Distribution of Differences Between Initial and Retrospective CFS Scores (2a) and Bland-Altman Plot of Agreement Between Initial and Retrospective CFS Assessments (2b). (a) Histogram displaying the frequency of difference in scores between the initial Clinical Frailty Scale score (iCFS) assessed by nurses in a Norwegian emergency department and retrospective score (rCFS) assigned by a physician through chart review. Abbreviations; CFS: Clinical Frailty Scale; ED: Emergency Department. (b) Bland-Altman plot illustrating agreement between the initial Clinical Frailty Scale (iCFS) and retrospective Clinical Frailty Scale (rCFS) assessments. The dotted line represents the mean difference,"The Clinical Frailty Scale is commonly used in emergency departments to assess patient frailty and guide treatment decisions, with higher scores indicating greater frailty and increased risk of adverse outcomes.",12960408_00035,12960408,test,Factual
What percentage of MDS/AML cases with germline DDX41 variants have single recurrent missense somatic variants?,"[Odds of pathogenicity from somatic DDX41 variants (PP4)] After observing a strong non-random association between germline and somatic DDX41 variants and building on previous work [3], we sought to evaluate the pathogenicity of germline DDX41 variants informed by the presence, number, and pattern of somatic variants. In cases of MDS/AML, the three most common pathogenic variants (c.3G>A, D140fs, and A500fs) were observed to have single recurrent missense (both R525H and non-R525H), single non-recurrent, and multiple somatic variants in 58%, 10%, and 0.7% of cases, respectively (Fig. 3E). In contrast, these somatic patterns were observed in 0.23%, 0.20%, and 0.14% of cases without a germline DDX41 variant (Fig. 3B)",The presence of somatic DDX41 variants is associated with a higher risk of developing leukemia in patients with germline variants.,12960222_00044,12960222,test,Conversational
